product_code,product_name_short,es_diferenciado,product_space_cluster_name,reflections_index_z,fitness_index_z,rank_reflections,rank_fitness
1806,Chocolates,Differentiated product,Agriculture,0.17281006988385464,-0.5010871855715336,386,559
1901,Malt extract,Differentiated product,Agriculture,-0.1560880515298285,-0.4973701765491159,459,553
1902,Pasta,Differentiated product,Agriculture,-1.0699960716231962,-0.6181257025619027,673,708
1904,Cereal foods,Undifferentiated product,Agriculture,-0.45043216747972054,-0.5763559029342428,529,651
1905,Bakery products,Differentiated product,Agriculture,-0.27701055837933064,-0.5724268637333229,489,644
2001,Pickled fruits and vegetables,Differentiated product,Agriculture,-0.7988856895884218,-0.5368992342317831,621,597
2002,"Tomatoes, prepared or preserved",Undifferentiated product,Agriculture,-0.9759307002400872,-0.48543335382492264,650,544
2003,"Mushrooms, prepared or preserved",Differentiated product,Agriculture,0.7285044543308132,4.578927123226133,223,4
2004,"Other vegetables, frozen",Undifferentiated product,Agriculture,-0.05994106060109741,0.2771616881001709,433,199
2005,"Other vegetables, prepared or preserved",Differentiated product,Agriculture,-0.7962258275800033,-0.6150802599960045,619,700
2007,"Jams, jellies and marmalades",Differentiated product,Agriculture,-0.5907156729684123,-0.536959398398457,558,598
2008,"Fruits and nuts, otherwise prepared",Differentiated product,Agriculture,-1.1702559677692357,-0.6314321327909027,701,731
2009,Fruit juices,Undifferentiated product,Agriculture,-1.1386717039063403,-0.6374327597476834,692,738
2101,Coffee extracts,Differentiated product,Agriculture,-0.3808469651352898,-0.528619513993151,513,582
2102,Yeasts,Differentiated product,Agriculture,-0.6326634264502513,-0.4992691337564937,570,556
2103,Sauces and seasonings,Differentiated product,Agriculture,-0.5567479943815788,-0.5913310746526531,552,668
2104,Soups and broths,Differentiated product,Agriculture,-0.5819512952019638,-0.6036359139155064,555,688
2105,Ice cream,Differentiated product,Agriculture,-0.10724585490535152,-0.46270806217011745,445,515
2106,Food preparations n.e.c.,Differentiated product,Agriculture,0.05963611325502988,-0.5237075269685709,409,576
2201,Waters,Differentiated product,Agriculture,-0.5962228076582443,-0.5670040828322415,560,639
2202,"Waters, flavored or sweetened",Differentiated product,Agriculture,-0.7713832246677116,-0.6325416780034477,609,732
2203,Beer,Undifferentiated product,Agriculture,-0.8546958577311717,-0.5848353864747362,626,662
2204,Wine,Undifferentiated product,Agriculture,-0.7490912489421543,-0.3737705637868958,599,461
2207,Ethyl alcohol > 80%,Undifferentiated product,Agriculture,-0.804831144204878,-0.6012787030245879,622,683
2208,Spirits < 80% alcohol,Undifferentiated product,Agriculture,-0.5927176747318648,-0.5544599211847364,559,623
2301,"Flours of fish, for animal feed",Undifferentiated product,Agriculture,-1.3576098645342232,-0.6858317124524248,744,792
2302,Cereal residues,Undifferentiated product,Agriculture,-1.9359993824079416,-0.7050392054240099,799,808
2303,Starch residues,Undifferentiated product,Agriculture,-0.12181759700113053,-0.24147840257522357,449,389
2304,Solid soybean residues,Undifferentiated product,Agriculture,-1.279063786324287,-0.49824085021138376,728,555
2306,Solid vegetable oil and fat residues,Undifferentiated product,Agriculture,-0.960147931436072,-0.6446914885538177,645,749
2309,Animal feed,Undifferentiated product,Agriculture,-0.3850183612718463,-0.579212943379784,517,654
2401,Unmanufactured tobacco,Undifferentiated product,Agriculture,-1.4635989865808754,-0.6338979318153583,757,733
2402,Cigars and cigarettes,Undifferentiated product,Agriculture,-1.0091795253710378,-0.6355659397422992,661,736
2403,Other manufactured tobacco,Undifferentiated product,Agriculture,-0.4014487016457226,-0.494833388908868,520,550
2501,Salt,Undifferentiated product,Minerals,-1.105415025376891,-0.6416935808084377,683,745
2503,"Sulphur, crude",Undifferentiated product,Minerals,-1.450678390752486,-0.6974841098159982,754,804
2505,Natural sands,Undifferentiated product,Minerals,-0.9885063545841676,-0.572809027852839,656,645
2507,Kaolin,Undifferentiated product,Minerals,0.02196357088151154,-0.09238797329895464,420,321
