country,reflections_index,fitness_index,eigenvalues_index,reflections_index_z,fitness_index_z,eigenvalues_index_z
GIN,-1.8090310814637194,0.008550449386378665,-1.797290217895049,-1.8090310814408426,-0.8651826485299916,-1.797290217895049
GNQ,-1.0033364437872214,7.033802287841467e-4,-0.9244551237914362,-1.0033364437643446,-0.8720303475105032,-0.9244551237914362
GRC,0.2020125039951903,1.038485784107484,0.19086744050788806,0.20201250401806745,0.03358439428840117,0.19086744050788812
GTM,-0.24798520623617062,0.719851996374516,-0.27096457829717274,-0.24798520621329354,-0.24446951597998554,-0.2709645782971727
HKG,1.4173658840497323,1.1816542971723705,1.4064238928377901,1.4173658840726095,0.15851955941396534,1.4064238928377901
HND,-0.4879680938880139,0.46076517746165047,-0.5205700481311937,-0.4879680938651368,-0.4705601123673753,-0.5205700481311937
HRV,0.6620373086402574,1.79171614063471,0.6508925946457541,0.6620373086631347,0.690886457121634,0.6508925946457541
HTI,-1.09688394285783,0.14008012507052894,-1.1567876306178453,-1.0968839428349533,-0.7504040467360089,-1.1567876306178453
HUN,1.45643550096127,2.0318806342637132,1.4518801488880186,1.4564355009841472,0.9004645970806502,1.4518801488880186
IDN,-0.208614426299121,1.0443470383643054,-0.2220899660711153,-0.2086144262762439,0.038699183516442026,-0.22208996607111525
IND,0.5454587331067783,2.4271046120542557,0.5372560287986631,0.5454587331296555,1.2453544885085581,0.5372560287986631
IRL,1.5326095124477197,0.8540589616130482,1.5504932720003366,1.532609512470597,-0.12735459312346553,1.5504932720003366
IRN,-0.22667677174222733,0.7437057761741566,-0.2227213718964142,-0.22667677171935025,-0.22365365462654488,-0.22272137189641414
ISR,1.4835039995113062,1.8493314099765426,1.4979682324900718,1.4835039995341834,0.7411640847569323,1.4979682324900718
ITA,1.34880954005361,4.453802145498868,1.3362598876012866,1.3488095400764872,3.0139402311412193,1.3362598876012866
JAM,-0.38697794912212424,0.24329432409194257,-0.3925278286901196,-0.38697794909924715,-0.6603347799538718,-0.39252782869011954
JOR,-0.14980581016509747,0.5462650081493097,-0.1681929181231188,-0.14980581014222039,-0.39594918544988167,-0.16819291812311873
JPN,2.5070121959823584,4.525273672560079,2.5223794350497983,2.507012196005236,3.076309440990607,2.5223794350497983
KAZ,-0.5977963902212688,0.2149252222064283,-0.5738713438704066,-0.5977963901983918,-0.6850909107025674,-0.5738713438704066
KEN,-0.5648260947506349,0.5884252930251238,-0.5864755835008505,-0.5648260947277579,-0.35915825956862013,-0.5864755835008505
KGZ,-0.14718985016446176,0.957651287264989,-0.17743794752978997,-0.14718985014158467,-0.03695535634993866,-0.17743794752978992
KHM,-0.4935402585893925,0.6413771257079791,-0.5546214913584522,-0.4935402585665154,-0.31295015264405157,-0.5546214913584522
KOR,2.128332739729931,2.8557618426225355,2.1422081781882363,2.1283327397528087,1.6194197123266143,2.1422081781882363
KWT,-0.051960871669039885,0.02588225122901796,0.006246391505610293,-0.05196087164616277,-0.8500581530750984,0.006246391505610334
LAO,-0.6655146827002718,0.3349463837706949,-0.6905111323572005,-0.6655146826773948,-0.5803551464092153,-0.6905111323572005
LBN,0.44624018589043235,1.1329885310059746,0.4396742438488852,0.44624018591330955,0.11605166335357137,0.43967424384888526
LBR,-0.7559614650208184,0.04627164039067277,-0.7163978125674729,-0.7559614649979414,-0.8322654719388053,-0.7163978125674729
LBY,-1.1527542717118873,0.003943290828127403,-1.0971686554088504,-1.1527542716890105,-0.8692030584854538,-1.0971686554088504
LKA,-0.5201698766347712,0.761112540262026,-0.5618659978650884,-0.5201698766118942,-0.2084637438070193,-0.5618659978650884
LTU,0.8685397743439666,1.712041492581982,0.8662884475882925,0.8685397743668438,0.6213588417424244,0.8662884475882925
LVA,0.6006717511832568,1.4833597530411258,0.595154433638494,0.600671751206134,0.42180105994308753,0.595154433638494
MAR,-0.6074698709477583,0.5407455891032404,-0.6437627715936809,-0.60746987092488125,-0.4007656741816276,-0.6437627715936809
MDA,-0.26049805983605073,0.511271586828938,-0.2956772098373269,-0.26049805981317364,-0.42648598978888913,-0.29567720983732687
MDG,-1.4125981791771633,0.2662764836640095,-1.4552962309587734,-1.4125981791542865,-0.6402795328914334,-1.4552962309587734
MEX,1.050668712876231,1.3823067390489612,1.0402058315878904,1.0506687128991083,0.3336177386297962,1.0402058315878904
MKD,0.1272304308904361,0.7085876549064338,0.09994856364803552,0.12723043091331324,-0.25429927764488297,0.09994856364803556
MLI,-0.6538937626662714,0.2720229991718602,-0.6539342766787969,-0.6538937626433944,-0.6352648697612481,-0.6539342766787969
MMR,-0.8845801163360343,0.4884989755713034,-0.9223852758155308,-0.8845801163131572,-0.4463583757409833,-0.9223852758155308
MNG,-1.2891159314513414,0.0575494858006055,-1.2847848222223084,-1.2891159314284646,-0.822423926138075,-1.2847848222223084
MOZ,-1.519201989600653,0.09786062149519562,-1.5120654432260245,-1.5192019895777762,-0.787246649468867,-1.5120654432260245
MRT,-1.17909256081266,0.04830608278011247,-1.172551071096159,-1.179092560789783,-0.8304901276929102,-1.172551071096159
MUS,-0.13397221882575333,0.9061697283480915,-0.17123166249213975,-0.13397221880287624,-0.08188043747646417,-0.1712316624921397
MWI,-0.7288368321162426,0.18079839619233357,-0.73110818542432,-0.7288368320933656,-0.714871485718737,-0.73110818542432
MYS,1.1747043532297066,1.7036621449744949,1.189284419617613,1.1747043532525838,0.614046653087427,1.189284419617613
NAM,-0.938596594585092,0.16567972001926395,-0.9248516805227519,-0.938596594562215,-0.7280647100089574,-0.9248516805227519
NER,-0.8306750623587911,0.15072620424128796,-0.8232964628381914,-0.830675062335914,-0.741113808046893,-0.8232964628381914
NGA,-1.7681455838783386,0.025481896365771393,-1.7407217972718376,-1.7681455838554618,-0.8504075204036944,-1.7407217972718376
NIC,-0.9459548515560395,0.2346033257206687,-0.9780567170614428,-0.9459548515331625,-0.6679189288241545,-0.9780567170614428
NLD,1.0942890593799042,2.9948185440303825,1.1035735135510698,1.0942890594027814,1.7407667290713635,1.1035735135510698
NOR,0.42995857868631243,0.36497330736217143,0.4613633589081309,0.42995857870918963,-0.5541523272501337,0.46136335890813096
NPL,-0.4150517514084373,0.558578885664519,-0.4528475259806906,-0.4150517513855602,-0.38520355229518516,-0.45284752598069056
NZL,0.158037071086016,0.5502106532219966,0.16438666918504433,0.15803707110889315,-0.39250604136652034,0.16438666918504438
OMN,-0.30528115584564125,0.16516986741138243,-0.2769050714027253,-0.30528115582276416,-0.7285096299036449,-0.27690507140272524
PAK,-0.6591822084957255,0.7296066436773893,-0.697074066074576,-0.6591822084728485,-0.23595718009385555,-0.697074066074576
PAN,-0.5084944571903129,0.15050636421847507,-0.5027795459479256,-0.5084944571674359,-0.7413056501563301,-0.5027795459479256
PER,-0.8235126875203919,0.31295390625153574,-0.8291022504640757,-0.8235126874975148,-0.5995467532196537,-0.8291022504640757
PHL,0.8780583893890166,1.249954064907922,0.8724580971821395,0.8780583894118938,0.21812095204847204,0.8724580971821395
PNG,-1.7210097401943782,0.016703860095854107,-1.6862707680245077,-1.7210097401715014,-0.8580676223868955,-1.6862707680245077
POL,0.9400741614542032,2.821598078566469,0.9272598298338364,0.94007416147708045,1.589606903544274,0.9272598298338364
PRT,0.5258630143672621,2.4477310619808694,0.5064578526817898,0.5258630143901394,1.2633540393341487,0.5064578526817898
PRY,-0.6561057846315815,0.22634114697874372,-0.6703650658069286,-0.6561057846087045,-0.6751288707542734,-0.6703650658069286
QAT,-0.2168930582244839,0.02474688973106954,-0.13479682075413482,-0.21689305820160681,-0.8510489196423191,-0.13479682075413477
ROU,1.1290350204125208,1.9053776036168981,1.1127712052600593,1.129035020435398,0.7900724676633307,1.1127712052600593
RUS,-0.3447609563843243,0.2777948686423762,-0.31019797485394746,-0.3447609563614472,-0.6302280816439104,-0.3101979748539474
RWA,-0.7317713764436026,0.3613550239586729,-0.7487496048026375,-0.7317713764207255,-0.5573098010885489,-0.7487496048026375
SAU,0.644463207555026,0.29927320730973256,0.6927179323494514,0.6444632075779032,-0.6114851350938347,0.6927179323494514
SDN,-1.5077083572680576,0.038615855107889945,-1.4947603049749414,-1.5077083572451808,-0.8389462481653269,-1.4947603049749414
SEN,-0.6948408032333868,0.30780258798824367,-0.6966698656093382,-0.6948408032105098,-0.6040420209573792,-0.6966698656093382
SGP,2.22452661479134,1.5480831625525606,2.255598851011934,2.2245266148142178,0.47828156450162684,2.255598851011934
SLV,0.021744118736214447,0.729683923922588,-0.014763544609600731,0.021744118759091578,-0.2358897419401152,-0.01476354460960069
SRB,0.6478471114899996,1.6093274919092062,0.6356517565976944,0.6478471115128769,0.5317260701221408,0.6356517565976944
SVK,1.2484355996528749,1.446794432285306,1.2411762026190045,1.2484355996757521,0.3898925467602542,1.2411762026190045
SVN,1.7544566105110277,2.198600892907918,1.7513811596293236,1.754456610533905,1.0459520551647494,1.7513811596293236
SWE,1.68623340881842,2.8927996791190655,1.695184673965257,1.6862334088412974,1.6517405636054876,1.695184673965257
SWZ,-0.10664552823108513,0.35891348789054056,-0.133019407388918,-0.10664552820820801,-0.5594403932509044,-0.13301940738891793
TGO,-0.7763614643037157,0.2399266998685735,-0.7795707503359703,-0.7763614642808386,-0.6632735175255665,-0.7795707503359703
THA,1.1608761377330155,2.3614968844017374,1.1613241659969469,1.1608761377558927,1.1881022888990984,1.1613241659969469
TJK,-0.8345689080985846,0.13481136860113327,-0.8462693467258473,-0.8345689080757076,-0.7550017962370601,-0.8462693467258473
TKM,-0.968396478282114,0.026973793149843887,-0.9531712661762055,-0.9683964782592369,-0.849105625405428,-0.9531712661762055
TTO,-0.25274849689295237,0.08557183389606188,-0.23525900511154588,-0.2527484968700753,-0.7979703880551227,-0.23525900511154582
TUN,0.08569219873735148,1.0691872124313841,0.04956311583586882,0.08569219876022863,0.060375816055132404,0.049563115835868865
TUR,0.5800304054740357,2.815311604932972,0.5615415565654615,0.580030405496913,1.5841210491154964,0.5615415565654615
TZA,-1.063278616198376,0.3150300944118555,-1.067324217516931,-1.0632786161754992,-0.59773497977109,-1.067324217516931
UGA,-0.5674300832926277,0.4940534640906969,-0.5740937028676717,-0.5674300832697506,-0.4415112838385623,-0.5740937028676717
UKR,0.16067110447706198,0.784561524546695,0.16250039470246241,0.16067110449993913,-0.1880011248909163,0.16250039470246247
URY,0.17078652497219837,0.44543103006648627,0.1784250646365522,0.17078652499507552,-0.48394136635865137,0.17842506463655225
USA,1.6245577782266416,3.093370572558076,1.6478907837048307,1.6245577782495189,1.826767580054473,1.6478907837048307
UZB,-0.21466564902210858,0.9305256218548906,-0.23644416563831722,-0.2146656489992315,-0.06062640953476512,-0.23644416563831716
VNM,0.2630817432750591,1.610874122342012,0.22674779658382027,0.2630817432979363,0.5330757281186812,0.22674779658382033
ZAF,-0.14373556499747764,0.7921701446742818,-0.1307511121854896,-0.14373556497460055,-0.1813615070610732,-0.13075111218548954
ZMB,-0.8117180654232589,0.2273859755668092,-0.8070897740653318,-0.8117180654003818,-0.6742171072010772,-0.8070897740653318
ZWE,-1.0330190259232759,0.14832449087405428,-1.0303511850388172,-1.033019025900399,-0.7432096491623457,-1.0303511850388172
